System Time:,Simulation Time:,VegetableType:,CurrentNumber:,
4:7:58,1777.203,Grain,170,
4:8:1,1787.221,Grain,171,
4:8:5,1797.261,Grain,171,
4:8:8,1807.317,Grain,172,
4:8:12,1817.33,Grain,173,
4:8:15,1827.494,Grain,174,
4:8:18,1837.513,Grain,175,
4:8:22,1847.544,Grain,176,
4:8:25,1857.578,Grain,177,
4:8:29,1867.62,Grain,178,
4:8:32,1877.664,Grain,179,
4:8:36,1887.721,Grain,180,
4:8:39,1897.722,Grain,181,
4:8:42,1907.752,Grain,181,
4:8:46,1917.79,Grain,181,
4:8:49,1927.887,Grain,180,
4:8:52,1937.9,Grain,181,
4:8:56,1947.967,Grain,181,
4:8:59,1958.012,Grain,181,
4:9:3,1968.026,Grain,182,
4:9:6,1978.069,Grain,183,
4:9:9,1988.092,Grain,184,
4:9:13,1998.103,Grain,183,
4:9:16,2008.155,Grain,184,
4:9:19,2018.197,Grain,185,
4:9:23,2028.206,Grain,186,
4:9:26,2038.234,Grain,187,
4:9:29,2048.252,Grain,188,
4:9:33,2058.297,Grain,189,
4:9:36,2068.298,Grain,190,
4:9:39,2078.328,Grain,191,
4:9:43,2088.337,Grain,191,
4:9:46,2098.345,Grain,191,
4:9:49,2108.356,Grain,192,
4:9:53,2118.391,Grain,193,
4:9:56,2128.427,Grain,194,
4:9:59,2138.479,Grain,195,
4:10:3,2148.502,Grain,196,
4:10:6,2158.552,Grain,197,
4:10:9,2168.6,Grain,198,
4:10:13,2178.643,Grain,198,
4:10:16,2188.643,Grain,199,
4:10:19,2198.701,Grain,200,
4:10:23,2208.726,Grain,200,
4:10:26,2218.73,Grain,200,
4:10:30,2228.76,Grain,201,
4:10:33,2238.791,Grain,201,
4:10:36,2248.854,Grain,201,
4:10:40,2258.87,Grain,201,
4:10:43,2268.896,Grain,201,
4:10:46,2278.952,Grain,201,
4:10:50,2288.992,Grain,201,
4:10:53,2299.044,Grain,200,
4:10:56,2309.067,Grain,201,
4:11:0,2319.095,Grain,201,
4:11:3,2329.149,Grain,201,
4:11:6,2339.193,Grain,201,
4:11:10,2349.24,Grain,201,
4:11:13,2359.242,Grain,201,
4:11:16,2369.274,Grain,201,
4:11:20,2379.275,Grain,201,
4:11:23,2389.288,Grain,201,
4:11:26,2399.307,Grain,201,
4:11:30,2409.309,Grain,201,
4:11:33,2419.355,Grain,200,
4:11:36,2429.385,Grain,201,
4:11:40,2439.475,Grain,201,
4:11:43,2449.496,Grain,201,
4:11:46,2459.527,Grain,201,
4:11:50,2469.541,Grain,201,
4:11:53,2479.573,Grain,200,
4:11:56,2489.635,Grain,201,
4:12:0,2499.677,Grain,201,
4:12:3,2509.76,Grain,201,
4:12:7,2519.765,Grain,201,
4:12:10,2529.811,Grain,200,
4:12:13,2539.843,Grain,201,
4:12:17,2549.881,Grain,201,
4:12:20,2559.914,Grain,201,
4:12:23,2569.966,Grain,201,
4:12:27,2580.008,Grain,201,
4:12:30,2590.081,Grain,201,
4:12:33,2600.141,Grain,201,
4:12:37,2610.208,Grain,200,
4:12:40,2620.272,Grain,201,
4:12:43,2630.352,Grain,201,
4:12:47,2640.383,Grain,200,
4:12:50,2650.501,Grain,199,
4:12:53,2660.512,Grain,200,
4:12:57,2670.522,Grain,201,
4:13:0,2680.531,Grain,200,
4:13:3,2690.532,Grain,201,
4:13:7,2700.625,Grain,201,
4:13:10,2710.71,Grain,201,
4:13:14,2720.716,Grain,201,
4:13:17,2730.778,Grain,200,
4:13:20,2740.796,Grain,201,
4:13:24,2750.863,Grain,201,
4:13:27,2760.867,Grain,201,
4:13:30,2770.886,Grain,201,
4:13:34,2780.944,Grain,201,
4:13:37,2790.951,Grain,201,
4:13:40,2800.955,Grain,201,
4:13:44,2811.027,Grain,200,
4:13:47,2821.04,Grain,201,
4:13:50,2831.067,Grain,201,
4:13:54,2841.125,Grain,200,
4:13:57,2851.186,Grain,201,
4:14:0,2861.285,Grain,201,
4:14:4,2871.303,Grain,200,
4:14:7,2881.323,Grain,201,
4:14:10,2891.376,Grain,201,
4:14:14,2901.431,Grain,201,
4:14:17,2911.469,Grain,201,
4:14:20,2921.471,Grain,201,
4:14:24,2931.472,Grain,201,
4:14:27,2941.533,Grain,201,
4:14:30,2951.572,Grain,201,
4:14:34,2961.663,Grain,201,
4:14:37,2971.695,Grain,201,
4:14:41,2981.758,Grain,201,
4:14:44,2991.841,Grain,200,
4:14:47,3001.944,Grain,200,
4:14:51,3011.952,Grain,200,
4:14:54,3021.965,Grain,201,
4:14:57,3031.99,Grain,200,
4:15:1,3042.055,Grain,200,
4:15:4,3052.102,Grain,201,
4:15:7,3062.185,Grain,201,
4:15:11,3072.186,Grain,201,
4:15:14,3082.269,Grain,201,
4:15:17,3092.312,Grain,200,
4:15:21,3102.344,Grain,201,
4:15:24,3112.424,Grain,201,
4:15:27,3122.458,Grain,201,
4:15:31,3132.507,Grain,201,
4:15:34,3142.54,Grain,201,
4:15:37,3152.587,Grain,201,
4:15:41,3162.623,Grain,201,
4:15:44,3172.708,Grain,201,
4:15:48,3182.789,Grain,200,
4:15:51,3192.802,Grain,201,
4:15:54,3202.844,Grain,201,
4:15:58,3212.884,Grain,200,
4:16:1,3222.928,Grain,201,
4:16:4,3233.004,Grain,201,
4:16:8,3243.056,Grain,201,
4:16:11,3253.064,Grain,201,
4:16:14,3263.075,Grain,201,
4:16:18,3273.131,Grain,201,
4:16:21,3283.15,Grain,200,
4:16:24,3293.169,Grain,201,
4:16:28,3303.254,Grain,201,
4:16:31,3313.317,Grain,201,
4:16:34,3323.352,Grain,201,
4:16:38,3333.377,Grain,201,
4:16:41,3343.488,Grain,201,
4:16:44,3353.548,Grain,201,
4:16:48,3363.613,Grain,201,
4:16:51,3373.64,Grain,201,
4:16:54,3383.682,Grain,201,
4:16:58,3393.745,Grain,201,
4:17:1,3403.78,Grain,201,
4:17:5,3413.79,Grain,200,
4:17:8,3423.795,Grain,201,
4:17:11,3433.851,Grain,201,
4:17:15,3443.867,Grain,201,
4:17:18,3453.909,Grain,201,
4:17:21,3463.913,Grain,201,
4:17:25,3473.974,Grain,201,
4:17:28,3484.008,Grain,201,
4:17:31,3494.016,Grain,201,
4:17:35,3504.068,Grain,200,
4:17:38,3514.119,Grain,201,
4:17:41,3524.131,Grain,201,
4:17:45,3534.2,Grain,201,
4:17:48,3544.211,Grain,201,
4:17:51,3554.271,Grain,201,
4:17:55,3564.318,Grain,201,
4:17:58,3574.368,Grain,201,
4:18:1,3584.423,Grain,200,
4:18:5,3594.428,Grain,201,
4:18:8,3604.429,Grain,201,
4:18:11,3614.435,Grain,201,
4:18:15,3624.458,Grain,200,
4:18:18,3634.483,Grain,201,
4:18:21,3644.493,Grain,201,
4:18:25,3654.565,Grain,201,
4:18:28,3664.581,Grain,201,
4:18:31,3674.616,Grain,201,
4:18:35,3684.653,Grain,201,
4:18:38,3694.682,Grain,201,
4:18:42,3704.727,Grain,201,
4:18:45,3714.736,Grain,201,
4:18:48,3724.741,Grain,201,
