System Time:,Simulation Time:,VegetableType:,CurrentNumber:,
19:13:51,1778.612,Grain,86,
19:13:54,1788.802,Grain,85,
19:13:57,1798.886,Grain,85,
19:14:1,1808.915,Grain,85,
19:14:4,1818.988,Grain,82,
19:14:8,1829.168,Grain,81,
19:14:11,1839.229,Grain,81,
19:14:14,1849.386,Grain,82,
19:14:18,1859.585,Grain,79,
19:14:21,1869.735,Grain,77,
19:14:24,1879.791,Grain,78,
19:14:28,1889.9,Grain,79,
19:14:31,1900.075,Grain,78,
19:14:35,1910.088,Grain,78,
19:14:38,1920.343,Grain,76,
19:14:41,1930.369,Grain,74,
19:14:45,1940.508,Grain,72,
19:14:48,1950.695,Grain,73,
19:14:52,1960.841,Grain,72,
19:14:55,1971.069,Grain,72,
19:14:59,1981.283,Grain,72,
19:15:2,1991.478,Grain,70,
19:15:6,2001.686,Grain,69,
19:15:9,2011.922,Grain,68,
19:15:12,2022.047,Grain,67,
19:15:16,2032.119,Grain,63,
19:15:19,2042.248,Grain,64,
19:15:23,2052.316,Grain,63,
19:15:26,2062.529,Grain,64,
19:15:29,2072.571,Grain,64,
19:15:33,2082.684,Grain,63,
19:15:36,2092.818,Grain,62,
19:15:39,2103.003,Grain,63,
19:15:43,2113.142,Grain,62,
19:15:46,2123.329,Grain,63,
19:15:50,2133.361,Grain,64,
19:15:53,2143.516,Grain,63,
19:15:56,2153.664,Grain,61,
19:16:0,2163.837,Grain,60,
19:16:3,2173.91,Grain,60,
19:16:6,2184.084,Grain,61,
19:16:10,2194.109,Grain,62,
19:16:13,2204.119,Grain,62,
19:16:17,2214.162,Grain,60,
19:16:20,2224.195,Grain,60,
19:16:23,2234.272,Grain,60,
19:16:27,2244.313,Grain,60,
19:16:30,2254.455,Grain,59,
19:16:33,2264.47,Grain,59,
19:16:37,2274.538,Grain,60,
19:16:40,2284.643,Grain,60,
19:16:43,2294.785,Grain,60,
19:16:47,2304.806,Grain,60,
19:16:50,2314.926,Grain,61,
19:16:54,2325.154,Grain,61,
19:16:57,2335.267,Grain,60,
19:17:0,2345.273,Grain,59,
19:17:4,2355.344,Grain,57,
19:17:7,2365.424,Grain,56,
19:17:10,2375.476,Grain,57,
19:17:14,2385.69,Grain,57,
19:17:17,2395.826,Grain,55,
19:17:21,2405.978,Grain,52,
19:17:24,2416.088,Grain,53,
19:17:27,2426.256,Grain,53,
19:17:31,2436.291,Grain,53,
19:17:34,2446.459,Grain,52,
19:17:37,2456.479,Grain,52,
19:17:41,2466.559,Grain,51,
19:17:44,2476.634,Grain,51,
19:17:48,2486.839,Grain,50,
19:17:51,2497.047,Grain,51,
19:17:54,2507.228,Grain,50,
19:17:58,2517.423,Grain,48,
19:18:1,2527.493,Grain,49,
19:18:5,2537.508,Grain,49,
19:18:8,2547.703,Grain,48,
19:18:11,2557.923,Grain,49,
19:18:15,2568.025,Grain,48,
19:18:18,2578.221,Grain,47,
19:18:22,2588.417,Grain,47,
19:18:25,2598.558,Grain,47,
19:18:29,2608.784,Grain,48,
19:18:32,2618.9,Grain,46,
19:18:35,2628.92,Grain,45,
19:18:39,2638.94,Grain,46,
19:18:42,2649.049,Grain,44,
19:18:45,2659.205,Grain,40,
19:18:49,2669.364,Grain,37,
19:18:52,2679.409,Grain,35,
19:18:56,2689.534,Grain,34,
19:18:59,2699.707,Grain,34,
19:19:2,2709.904,Grain,32,
19:19:6,2720.077,Grain,33,
19:19:9,2730.304,Grain,33,
19:19:12,2740.473,Grain,33,
19:19:16,2750.572,Grain,32,
19:19:19,2760.642,Grain,32,
19:19:23,2770.719,Grain,31,
19:19:26,2780.908,Grain,30,
19:19:29,2791.098,Grain,28,
19:19:33,2801.312,Grain,26,
19:19:36,2811.549,Grain,26,
19:19:40,2821.613,Grain,25,
19:19:43,2831.692,Grain,24,
19:19:47,2841.735,Grain,24,
19:19:50,2851.883,Grain,24,
19:19:53,2861.955,Grain,25,
19:19:57,2872.152,Grain,26,
19:20:0,2882.244,Grain,27,
19:20:4,2892.389,Grain,27,
19:20:7,2902.406,Grain,27,
19:20:11,2912.488,Grain,26,
19:20:14,2922.548,Grain,26,
19:20:18,2932.588,Grain,25,
19:20:21,2942.698,Grain,25,
19:20:24,2952.757,Grain,25,
19:20:28,2962.795,Grain,26,
19:20:31,2972.999,Grain,27,
19:20:34,2983.013,Grain,28,
19:20:38,2993.046,Grain,27,
19:20:41,3003.082,Grain,25,
19:20:44,3013.238,Grain,26,
19:20:48,3023.395,Grain,27,
19:20:51,3033.449,Grain,28,
19:20:55,3043.543,Grain,28,
19:20:58,3053.687,Grain,29,
19:21:1,3063.782,Grain,29,
19:21:5,3073.783,Grain,29,
19:21:8,3083.811,Grain,30,
19:21:11,3093.91,Grain,31,
19:21:15,3103.986,Grain,32,
19:21:18,3114.142,Grain,32,
19:21:21,3124.21,Grain,33,
19:21:25,3134.327,Grain,33,
19:21:28,3144.406,Grain,33,
19:21:32,3154.541,Grain,33,
19:21:35,3164.617,Grain,33,
19:21:38,3174.733,Grain,33,
19:21:42,3184.759,Grain,34,
19:21:45,3194.776,Grain,35,
19:21:48,3204.776,Grain,36,
19:21:52,3214.794,Grain,37,
19:21:55,3225.024,Grain,37,
19:21:59,3235.198,Grain,37,
19:22:2,3245.257,Grain,37,
19:22:5,3255.376,Grain,38,
19:22:9,3265.442,Grain,37,
19:22:12,3275.55,Grain,37,
19:22:15,3285.606,Grain,37,
19:22:19,3295.693,Grain,37,
19:22:22,3305.75,Grain,37,
19:22:25,3315.829,Grain,38,
19:22:29,3325.899,Grain,39,
19:22:32,3336.033,Grain,40,
19:22:36,3346.069,Grain,41,
19:22:39,3356.19,Grain,41,
