System Time:,Simulation Time:,VegetableType:,CurrentNumber:
16:16:09,576.9803,Grain,308
16:16:10,580.042,Grain,309
16:16:12,583.1749,Grain,308
16:16:13,586.2855,Grain,308
16:16:15,589.3982,Grain,309
16:16:17,592.4208,Grain,310
16:16:18,595.4348,Grain,308
16:16:20,598.5571,Grain,309
16:16:21,601.608,Grain,308
16:16:23,604.6885,Grain,309
16:16:24,607.7134,Grain,310
16:16:26,610.8754,Grain,310
16:16:27,613.8942,Grain,311
16:16:29,616.9846,Grain,311
16:16:30,620.0692,Grain,311
16:16:32,623.1677,Grain,312
16:16:33,626.216,Grain,311
16:16:35,629.2559,Grain,312
16:16:37,632.3069,Grain,313
16:16:38,635.4485,Grain,313
16:16:40,638.4863,Grain,313
16:16:41,641.6113,Grain,314
16:16:43,644.6339,Grain,314
16:16:44,647.7677,Grain,314
16:16:46,650.8851,Grain,315
16:16:47,654.0232,Grain,315
16:16:49,657.0297,Grain,315
16:16:50,660.0646,Grain,315
16:16:52,663.1544,Grain,315
16:16:53,666.2202,Grain,316
16:16:55,669.2864,Grain,317
16:16:57,672.3148,Grain,318
16:16:58,675.3994,Grain,318
16:17:00,678.553,Grain,319
16:17:01,681.6274,Grain,320
16:17:03,684.6391,Grain,321
16:17:04,687.7632,Grain,321
16:17:06,690.8521,Grain,322
16:17:07,694.0073,Grain,323
16:17:09,697.1432,Grain,323
16:17:10,700.145,Grain,322
16:17:12,703.2467,Grain,322
16:17:14,706.3951,Grain,322
16:17:15,709.4924,Grain,321
16:17:17,712.5444,Grain,319
16:17:18,715.661,Grain,317
16:17:20,718.7883,Grain,317
16:17:21,721.8532,Grain,316
16:17:23,724.8979,Grain,315
16:17:24,727.9101,Grain,314
16:17:26,730.9668,Grain,314
16:17:28,734.1635,Grain,315
16:17:29,737.3154,Grain,314
16:17:31,740.3464,Grain,315
16:17:32,743.358,Grain,314
16:17:34,746.4955,Grain,315
16:17:35,749.5681,Grain,316
16:17:37,752.6902,Grain,314
16:17:39,755.7896,Grain,315
16:17:40,758.8718,Grain,316
16:17:42,761.8847,Grain,316
16:17:43,764.9733,Grain,316
16:17:45,768.0955,Grain,317
16:17:46,771.1761,Grain,314
16:17:48,774.246,Grain,315
16:17:49,777.3108,Grain,316
16:17:51,780.373,Grain,316
16:17:53,783.4685,Grain,317
16:17:54,786.6332,Grain,317
16:17:56,789.7786,Grain,315
16:17:57,792.8758,Grain,314
16:17:59,796.0006,Grain,313
16:18:01,799.1814,Grain,314
16:18:02,802.372,Grain,313
16:18:04,805.5551,Grain,314
16:18:06,808.7412,Grain,314
16:18:07,811.918,Grain,314
16:18:09,815.1065,Grain,314
16:18:11,818.3063,Grain,314
16:18:12,821.5063,Grain,314
16:18:14,824.7039,Grain,315
16:18:16,827.9032,Grain,316
16:18:17,831.0992,Grain,317
16:18:19,834.2827,Grain,318
16:18:21,837.4753,Grain,318
16:18:23,840.6652,Grain,318
16:18:24,843.8635,Grain,319
16:18:26,846.8635,Grain,318
16:18:28,849.8635,Grain,318
16:18:29,852.8635,Grain,319
16:18:31,855.8635,Grain,319
16:18:33,858.8635,Grain,320
16:18:34,861.8635,Grain,320
16:18:36,864.8635,Grain,321
16:18:38,867.8635,Grain,321
16:18:40,870.8635,Grain,321
16:18:42,873.8635,Grain,320
16:18:44,876.8635,Grain,318
16:18:46,879.8635,Grain,318
16:18:48,882.8635,Grain,316
16:18:50,885.8635,Grain,316
16:18:52,888.8635,Grain,316
16:18:53,891.8635,Grain,314
16:18:55,894.8635,Grain,313
16:18:57,897.8635,Grain,313
16:18:59,900.8635,Grain,312
16:19:02,903.8635,Grain,313
16:19:04,906.8635,Grain,314
16:19:06,909.8635,Grain,312
16:19:08,912.8635,Grain,312
16:19:10,915.8635,Grain,313
16:19:12,918.8635,Grain,313
16:19:15,921.8635,Grain,314
16:19:17,924.8635,Grain,314
16:19:19,927.8635,Grain,314
16:19:21,930.8635,Grain,313
16:19:23,933.8635,Grain,312
16:19:26,936.8635,Grain,313
16:19:28,939.8635,Grain,311
16:19:30,942.8635,Grain,308
16:19:32,945.8635,Grain,306
16:19:35,948.8635,Grain,307
16:19:37,951.8635,Grain,306
16:19:40,954.8635,Grain,305
16:19:42,957.8635,Grain,302
16:19:45,960.8635,Grain,301
16:19:48,963.8635,Grain,297
16:19:50,966.8635,Grain,296
16:19:53,969.8635,Grain,296
16:19:56,972.8635,Grain,296
16:19:58,975.8635,Grain,295
16:20:01,978.8635,Grain,296
16:20:04,981.8635,Grain,292
16:20:07,984.8635,Grain,291
16:20:09,987.8635,Grain,290
16:20:12,990.8635,Grain,290
16:20:15,993.8635,Grain,289
16:20:17,996.8635,Grain,288
16:20:20,999.8635,Grain,288
16:20:23,1002.864,Grain,285
16:20:26,1005.864,Grain,284
16:20:29,1008.864,Grain,283
16:20:32,1011.864,Grain,283
16:20:35,1014.864,Grain,281
16:20:37,1017.864,Grain,282
16:20:41,1020.864,Grain,283
16:20:44,1023.864,Grain,282
16:20:47,1026.864,Grain,280
16:20:50,1029.864,Grain,279
16:20:53,1032.864,Grain,278
16:20:56,1035.864,Grain,277
16:20:59,1038.864,Grain,277
16:21:02,1041.864,Grain,276
16:21:05,1044.864,Grain,276
16:21:08,1047.864,Grain,274
16:21:11,1050.864,Grain,272
16:21:14,1053.864,Grain,272
16:21:18,1056.864,Grain,273
16:21:21,1059.864,Grain,272
16:21:24,1062.864,Grain,269
16:21:27,1065.864,Grain,268
16:21:31,1068.864,Grain,269
16:21:34,1071.864,Grain,269
16:21:37,1074.864,Grain,269
16:21:41,1077.864,Grain,268
